saps,fecha,fecha_mes,fecha_anio,id_servicio,prestacion_categoria,prestacion_tipo,consulta_cantidad,barrio_operativo
Dr. SANTIAGO LORENZO,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,8,
Dr. SANTIAGO LORENZO,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,49,
Dr. SANTIAGO LORENZO,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,143,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,62,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,4,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,7,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,26,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,14,
VILLA CHIQUITA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,12,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,160,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,42,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,15,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,7,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,400,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,25,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,376,
DR. PEDRO BLUGERMAN,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,158,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,352,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,194,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,10,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,216,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,22,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,27,
GÜEMES,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,72,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,203,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,15,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,20,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,10,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,740,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,20,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,58,
DR MANUEL A. GONZALEZ,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,51,
PASO MARTINEZ,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,7,
PASO MARTINEZ,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,54,
PASO MARTINEZ,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,3,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,38,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,6,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,110,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,7,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,23,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,31,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,PAP,1,
DR. KORIMBLUM,2023-01-01,1,2023,4,ENFERMERIA,EXTRACCION IMPLANTE,1,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,210,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,30,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,40,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,18,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,250,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,40,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,40,
SAPUCAY,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,24,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,137,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,60,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,15,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,21,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,570,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,33,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,SUTURAS,3,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,82,
ITATI,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,48,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,160,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,82,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,23,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,200,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,69,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,77,
RIO PARANA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,86,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,187,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,15,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,31,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,177,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,23,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,SUTURAS,2,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,157,
DR. SUSSINI,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,267,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,210,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,10,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,230,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,216,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,20,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,80,
DR. JOSE DE LOS REYES VIDAL,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,81,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,68,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,79,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,54,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,117,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,63,
DR. FLIER,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,95,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,148,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,4,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,40,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,96,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,28,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,75,
QUINTA FERRE,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,99,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,16,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,1,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,13,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,14,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,12,
DR. MAURICIO OPEN,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,54,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,180,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,2,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,50,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,2,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,240,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,28,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,28,
DR. PIRCHI,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,83,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,41,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,10,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,73,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,15,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,15,
SANTA MARTA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,90,
